fiveTuple,srcIP,dstIP,protocol,srcPort,dstPort,flowDuration,flowLength,fwdFlowLength,bwdFlowLength,packetSizeTotal,packetSizeMean,packetSizeStd,packetSizeMin,packetSizeMax,fwdPacketSizeTotal,bwdPacketSizeTotal,fwdPacketSizeMean,bwdPacketSizeMean,fwdPacketSizeStd,bwdPacketSizeStd,fwdPacketSizeMin,bwdPacketSizeMin,fwdPacketSizeMax,bwdPacketSizeMax,IATMean,IATStd,IATMin,IATMax,fwdIATTotal,bwdIATTotal,fwdIATMean,bwdIATMean,fwdIATStd,bwdIATStd,fwdIATMin,bwdIATMin,fwdIATMax,bwdIATMax,Type
198.199.96.210--138.68.177.159--TCP--40440--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),40440,924731000.0,83.0,0.0,83.0,193386.0,2329.951807,1118.803512,66.0,2962.0,0.0,193386.0,2329.951807,2329.951807,0.0,1118.803512,0.0,66.0,0.0,2962.0,11277000.0,34465000.0,1000.0,136802000.0,0.0,924731000.0,0.0,11277000.0,0.0,34465000.0,0.0,1000.0,0.0,136802000.0,Malicious
198.199.96.210--138.68.177.159--TCP--43088--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),43088,537931000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6560000.0,28916000.0,0.0,135624000.0,0.0,537931000.0,0.0,6560000.0,0.0,28916000.0,0.0,0.0,0.0,135624000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--38324,198.199.96.210,138.68.177.159,TCP,38324,8080(http-alt),3648930000.0,83.0,0.0,83.0,13649.0,164.445783,149.751944,66.0,403.0,0.0,13649.0,164.445783,164.445783,0.0,149.751944,0.0,66.0,0.0,403.0,44499000.0,61327000.0,3000.0,155331000.0,0.0,3648930000.0,0.0,44499000.0,0.0,61327000.0,0.0,3000.0,0.0,155331000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--37114,198.199.96.210,138.68.177.159,TCP,37114,8080(http-alt),1919600000.0,54.0,0.0,54.0,7846.0,145.296296,140.491944,66.0,403.0,0.0,7846.0,145.296296,145.296296,0.0,140.491944,0.0,66.0,0.0,403.0,36218000.0,55571000.0,3000.0,139004000.0,0.0,1919600000.0,0.0,36218000.0,0.0,55571000.0,0.0,3000.0,0.0,139004000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--50052,198.199.96.210,138.68.177.159,TCP,50052,8080(http-alt),4020666000.0,83.0,0.0,83.0,15590.0,187.831325,157.796637,66.0,397.0,0.0,15590.0,187.831325,187.831325,0.0,157.796637,0.0,66.0,0.0,397.0,49032000.0,62301000.0,8000.0,135599000.0,0.0,4020666000.0,0.0,49032000.0,0.0,62301000.0,0.0,8000.0,0.0,135599000.0,Malicious
198.199.96.210--138.68.177.159--TCP--43284--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),43284,655247000.0,59.0,0.0,59.0,138077.0,2340.288136,1109.939242,66.0,2962.0,0.0,138077.0,2340.288136,2340.288136,0.0,1109.939242,0.0,66.0,0.0,2962.0,11297000.0,33192000.0,1000.0,132163000.0,0.0,655247000.0,0.0,11297000.0,0.0,33192000.0,0.0,1000.0,0.0,132163000.0,Malicious
198.199.96.210--138.68.177.159--TCP--55106--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),55106,541984000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6609000.0,29114000.0,1000.0,135839000.0,0.0,541984000.0,0.0,6609000.0,0.0,29114000.0,0.0,1000.0,0.0,135839000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--38774,198.199.96.210,138.68.177.159,TCP,38774,8080(http-alt),6440649000.0,50.0,0.0,50.0,17769.0,355.38,5.106427,348.0,369.0,0.0,17769.0,355.38,355.38,0.0,5.106427,0.0,348.0,0.0,369.0,131441000.0,3013000.0,129620000.0,145262000.0,0.0,6440649000.0,0.0,131441000.0,0.0,3013000.0,0.0,129620000.0,0.0,145262000.0,Malicious
198.199.96.210--138.68.177.159--TCP--43092--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),43092,531789000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6485000.0,28586000.0,3000.0,133551000.0,0.0,531789000.0,0.0,6485000.0,0.0,28586000.0,0.0,3000.0,0.0,133551000.0,Malicious
198.199.96.210--138.68.177.159--TCP--36850--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),36850,537430000.0,83.0,0.0,83.0,195182.0,2351.590361,1078.55842,378.0,2962.0,0.0,195182.0,2351.590361,2351.590361,0.0,1078.55842,0.0,378.0,0.0,2962.0,6554000.0,28882000.0,2000.0,135442000.0,0.0,537430000.0,0.0,6554000.0,0.0,28882000.0,0.0,2000.0,0.0,135442000.0,Malicious
198.199.96.210--138.68.177.159--TCP--50078--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),50078,542580000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6616000.0,29170000.0,1000.0,137729000.0,0.0,542580000.0,0.0,6616000.0,0.0,29170000.0,0.0,1000.0,0.0,137729000.0,Malicious
198.199.96.210--138.68.177.159--TCP--38798--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38798,6425654000.0,50.0,0.0,50.0,8750.0,175.0,0.0,175.0,175.0,0.0,8750.0,175.0,175.0,0.0,0.0,0.0,175.0,0.0,175.0,131135000.0,2095000.0,129629000.0,140920000.0,0.0,6425654000.0,0.0,131135000.0,0.0,2095000.0,0.0,129629000.0,0.0,140920000.0,Malicious
198.199.96.210--138.68.177.159--TCP--43104--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),43104,530017000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6463000.0,28481000.0,4000.0,132885000.0,0.0,530017000.0,0.0,6463000.0,0.0,28481000.0,0.0,4000.0,0.0,132885000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--37120,198.199.96.210,138.68.177.159,TCP,37120,8080(http-alt),1608796000.0,48.0,0.0,48.0,6785.0,141.354167,137.817435,66.0,399.0,0.0,6785.0,141.354167,141.354167,0.0,137.817435,0.0,66.0,0.0,399.0,34229000.0,55244000.0,4000.0,135327000.0,0.0,1608796000.0,0.0,34229000.0,0.0,55244000.0,0.0,4000.0,0.0,135327000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--55098,198.199.96.210,138.68.177.159,TCP,55098,8080(http-alt),4141869000.0,83.0,0.0,83.0,15564.0,187.518072,157.393939,66.0,396.0,0.0,15564.0,187.518072,187.518072,0.0,157.393939,0.0,66.0,0.0,396.0,50510000.0,62476000.0,4000.0,136331000.0,0.0,4141869000.0,0.0,50510000.0,0.0,62476000.0,0.0,4000.0,0.0,136331000.0,Malicious
198.199.96.210--138.68.177.159--TCP--40432--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),40432,918737000.0,83.0,0.0,83.0,193386.0,2329.951807,1118.803512,66.0,2962.0,0.0,193386.0,2329.951807,2329.951807,0.0,1118.803512,0.0,66.0,0.0,2962.0,11204000.0,34166000.0,3000.0,132174000.0,0.0,918737000.0,0.0,11204000.0,0.0,34166000.0,0.0,3000.0,0.0,132174000.0,Malicious
198.199.96.210--138.68.177.159--TCP--50302--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),50302,263901000.0,19.0,0.0,19.0,43566.0,2292.947368,1155.830504,66.0,2962.0,0.0,43566.0,2292.947368,2292.947368,0.0,1155.830504,0.0,66.0,0.0,2962.0,14661000.0,30579000.0,9000.0,132524000.0,0.0,263901000.0,0.0,14661000.0,0.0,30579000.0,0.0,9000.0,0.0,132524000.0,Malicious
198.199.96.210--138.68.177.159--TCP--40384--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),40384,531002000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6475000.0,28533000.0,1000.0,133605000.0,0.0,531002000.0,0.0,6475000.0,0.0,28533000.0,0.0,1000.0,0.0,133605000.0,Malicious
198.199.96.210--138.68.177.159--TCP--37100--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),37100,793154000.0,83.0,0.0,83.0,195190.0,2351.686747,1075.57292,66.0,2962.0,0.0,195190.0,2351.686747,2351.686747,0.0,1075.57292,0.0,66.0,0.0,2962.0,9672000.0,31708000.0,3000.0,134870000.0,0.0,793154000.0,0.0,9672000.0,0.0,31708000.0,0.0,3000.0,0.0,134870000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--43076,198.199.96.210,138.68.177.159,TCP,43076,8080(http-alt),4416027000.0,83.0,0.0,83.0,16297.0,196.349398,160.458637,66.0,399.0,0.0,16297.0,196.349398,196.349398,0.0,160.458637,0.0,66.0,0.0,399.0,53853000.0,63447000.0,5000.0,141052000.0,0.0,4416027000.0,0.0,53853000.0,0.0,63447000.0,0.0,5000.0,0.0,141052000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--37100,198.199.96.210,138.68.177.159,TCP,37100,8080(http-alt),2877096000.0,66.0,0.0,66.0,10940.0,165.757576,151.042043,66.0,402.0,0.0,10940.0,165.757576,165.757576,0.0,151.042043,0.0,66.0,0.0,402.0,44263000.0,61222000.0,2000.0,150987000.0,0.0,2877096000.0,0.0,44263000.0,0.0,61222000.0,0.0,2000.0,0.0,150987000.0,Malicious
